,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
960,0.9,8,10.0,2.5,63.8,58.0,6.13,6.09,3.9,3457.997644653782
961,1.11,4,4.28,3.75,61.6,56.0,6.69,6.73,4.07,4956.705353267138
962,0.51,4,7.14,8.75,61.4,56.0,5.15,5.17,3.17,2111.023673004307
963,0.28,8,7.14,7.5,64.9,57.0,4.13,4.16,2.69,808.6184412142047
964,0.52,6,8.57,5.0,62.5,56.0,5.15,5.18,3.23,1664.3009032188802
965,1.2,4,7.14,5.0,62.3,56.0,6.82,6.79,4.24,5615.299592195352
966,0.29,4,7.14,5.0,61.6,56.0,4.28,4.32,2.65,526.2181079948223
967,1.52,6,2.85,5.0,63.3,61.0,7.27,7.23,4.59,7291.067778453684
968,1.01,8,10.0,3.75,63.1,60.0,6.32,6.39,4.01,4315.528430651606
969,1.2,4,7.14,3.75,61.5,53.0,6.87,6.9,4.24,5469.903546538964
970,0.5,4,7.14,7.5,62.2,54.0,5.07,5.12,3.17,1877.380418423807
971,0.35,4,8.57,5.0,61.6,56.0,4.54,4.52,2.79,923.7233442746128
972,0.53,4,8.57,5.0,61.5,56.0,5.18,5.23,3.2,1796.8748309111088
973,0.55,4,7.14,5.0,60.9,57.0,5.3,5.34,3.24,1806.1295511796907
974,2.07,4,1.42,7.5,62.7,54.0,8.17,8.12,5.11,11262.37642228254
975,2.01,10,8.57,2.5,58.7,54.0,8.27,8.2,4.83,11147.328596187386
976,0.3,6,10.0,2.5,61.8,58.0,4.29,4.32,2.66,394.11233906420784
977,0.74,4,5.71,7.5,60.9,58.0,5.85,5.88,3.57,3141.4521105751937
978,1.02,6,5.71,3.75,63.0,55.0,6.4,6.45,4.05,4144.440570950492
979,2.0,10,2.85,6.25,61.1,58.0,8.08,8.11,4.95,10832.227347501865
980,1.51,10,1.42,7.5,62.6,59.0,7.33,7.31,4.58,7499.684276124079
981,0.3,4,7.14,3.75,60.6,57.0,4.34,4.37,2.64,411.51656761028244
982,0.57,4,8.57,6.25,61.0,56.0,5.38,5.4,3.29,2168.735348624885
983,2.15,4,2.85,3.75,62.5,57.0,8.2,8.16,5.11,11452.170352997176
984,0.97,10,7.14,2.5,61.9,58.0,6.31,6.35,3.92,3801.3688885128813
985,1.2,10,10.0,2.5,62.0,58.0,6.84,6.77,4.22,5411.323151491293
986,0.26,4,5.71,3.75,62.2,54.0,4.11,4.12,2.56,190.9862972000392
987,1.51,10,5.71,5.0,62.5,59.0,7.34,7.28,4.57,7431.239107521718
988,0.31,4,8.57,5.0,60.5,56.0,4.41,4.38,2.66,745.3851950730659
989,0.79,10,4.28,2.5,62.8,57.0,5.91,5.88,3.7,2527.8217433356695
990,0.77,10,5.71,2.5,61.2,58.0,5.99,5.96,3.64,2586.3872192034178
991,0.57,8,7.14,6.25,60.0,61.0,5.35,5.38,3.22,2087.8580153181447
992,0.27,4,5.71,7.5,62.8,56.0,4.12,4.16,2.6,734.3337501376682
993,0.52,4,5.71,7.5,61.0,56.0,5.24,5.18,3.18,1933.7184263561812
994,0.43,4,5.71,10.0,61.2,57.0,4.81,4.86,2.96,1819.2003277596523
995,0.6,4,5.71,7.5,62.0,57.0,5.41,5.46,3.37,2290.0819081912978
996,0.36,10,10.0,2.5,61.5,60.0,4.54,4.6,2.81,603.007334465372
997,0.54,4,8.57,7.5,62.2,54.0,5.23,5.26,3.26,2174.018326914287
998,0.9,8,1.42,2.5,63.9,56.0,6.17,6.1,3.92,2939.056571713749
999,1.0,10,5.71,2.5,62.9,60.0,6.35,6.3,3.98,3853.0139858149505
1000,1.03,6,5.71,3.75,62.6,56.0,6.41,6.44,4.02,4278.299349456265
1001,0.53,6,7.14,3.75,62.5,57.0,5.19,5.24,3.26,1433.3696171488846
1002,0.4,4,5.71,8.75,62.0,55.0,4.74,4.78,2.95,1461.9306792737225
1003,0.64,10,4.28,3.75,60.0,59.0,5.63,5.57,3.36,1969.3532893064894
1004,0.35,6,4.28,5.0,60.1,56.0,4.61,4.64,2.78,613.4059757600098
1005,0.9,10,4.28,2.5,59.5,60.0,6.32,6.29,3.75,3362.4599075418955
1006,1.09,8,4.28,3.75,63.2,57.0,6.54,6.57,4.14,4460.512581364657
1007,0.73,4,2.85,3.75,61.7,55.0,5.78,5.82,3.58,2362.4914316751892
1008,0.9,6,7.14,5.0,63.1,59.0,6.13,6.05,3.84,3753.0898763536607
1009,1.06,4,2.85,2.5,61.9,59.0,6.47,6.52,4.02,4168.616984040313
1010,0.7,10,7.14,5.0,60.6,58.0,5.8,5.72,3.49,2636.000442911278
1011,1.01,6,4.28,3.75,61.8,61.0,6.4,6.47,3.98,4041.9328822450425
1012,0.96,10,5.71,2.5,59.3,58.0,6.49,6.43,3.83,3852.957820754893
1013,0.49,6,4.28,7.5,62.3,57.0,5.02,5.05,3.14,1619.095181685656
1014,1.06,4,2.85,8.75,60.2,57.0,6.62,6.66,4.0,5126.927438541186
1015,0.54,8,10.0,3.75,63.7,57.0,5.22,5.14,3.3,1653.6534276219809
1016,0.52,6,8.57,2.5,62.6,58.0,5.11,5.14,3.21,1327.4465252442114
1017,0.41,4,8.57,6.25,62.1,56.0,4.78,4.75,2.96,1358.163859389333
1018,0.5,8,8.57,7.5,61.6,62.0,5.04,5.09,3.12,1917.3938022335915
1019,1.06,4,2.85,2.5,62.7,58.0,6.48,6.5,4.07,4095.344120458758
1020,0.44,4,8.57,3.75,61.1,56.0,4.92,4.9,3.0,1181.3294216115428
1021,0.73,4,7.14,6.25,62.6,56.0,5.73,5.71,3.58,2972.4638241028333
1022,0.56,4,10.0,5.0,61.9,57.0,5.26,5.3,3.27,2017.3577284622897
1023,0.42,6,10.0,2.5,63.1,56.0,4.8,4.74,3.01,945.5979402941775
1024,0.81,6,7.14,7.5,63.1,56.0,5.99,5.9,3.75,3541.409814601924
1025,0.72,4,2.85,5.0,61.8,56.0,5.72,5.77,3.56,2449.7779001160707
1026,0.41,4,10.0,5.0,62.4,55.0,4.76,4.79,2.98,1246.6812981253497
1027,1.01,6,2.85,3.75,63.3,59.0,6.26,6.22,3.95,4011.0505889878023
1028,1.13,4,8.57,1.25,62.0,55.0,6.66,6.7,4.14,4771.957024551122
1029,1.53,10,7.14,5.0,58.5,60.0,7.62,7.56,4.44,8056.885394893268
1030,0.72,4,4.28,8.75,62.5,57.0,5.7,5.73,3.57,3063.8793482123165
1031,0.7,6,8.57,2.5,59.5,56.0,5.79,5.81,3.45,2472.8655206364274
1032,1.09,6,5.71,5.0,60.9,56.0,6.67,6.7,4.07,4905.629259211855
1033,1.22,6,2.85,6.25,61.6,60.0,6.86,6.8,4.21,5695.622314944976
1034,0.31,4,10.0,6.25,60.5,55.0,4.43,4.39,2.67,1001.8715489842889
1035,0.42,4,5.71,10.0,62.7,56.0,4.76,4.77,2.99,1741.2447165224366
1036,0.3,10,7.14,5.0,60.7,58.0,4.35,4.32,2.63,552.6948331579388
1037,1.31,10,1.42,3.75,60.7,58.0,7.11,7.06,4.3,5875.307729730057
1038,1.01,8,7.14,2.5,64.3,59.0,6.33,6.26,4.05,3928.0150515074765
1039,1.26,10,4.28,2.5,61.3,57.0,6.96,6.87,4.24,5546.581527757622
1040,2.23,10,1.42,2.5,60.5,61.0,8.47,8.4,5.1,11898.025896103676
1041,0.72,8,7.14,3.75,60.4,61.0,5.75,5.8,3.49,2577.2017082941275
1042,1.0,2,7.14,5.0,64.7,59.0,6.22,6.15,4.0,4327.365940564601
1043,0.53,8,2.85,6.25,64.3,55.0,5.17,5.13,3.31,1493.695411511335
1044,2.01,6,5.71,3.75,63.1,59.0,8.03,7.98,5.05,10535.6922063736
1045,0.32,4,10.0,7.5,61.3,55.8,4.43,4.44,2.71,1232.1157655203478
1046,1.04,4,4.28,3.75,62.7,54.0,6.51,6.47,4.07,4248.244072288813
1047,1.22,4,5.71,10.0,61.7,56.0,6.87,6.91,4.25,6374.8673702963115
1048,1.0,8,4.28,3.75,63.7,60.0,6.33,6.3,4.02,3895.8731726228834
1049,0.31,4,10.0,10.0,61.1,56.0,4.39,4.42,2.69,1495.3489537096739
1050,2.01,10,4.28,5.0,62.8,58.0,7.99,7.9,4.99,10694.654066219146
1051,0.36,4,7.14,6.25,61.3,54.0,4.63,4.65,2.84,1037.5732243736256
1052,0.39,6,2.85,7.5,62.7,58.0,4.65,4.67,2.92,1050.078921221586
1053,0.33,10,5.71,6.25,61.6,58.0,4.44,4.39,2.72,784.9218692694922
1054,0.32,10,2.85,10.0,60.3,58.0,4.45,4.41,2.67,1086.2292411414364
1055,0.4,4,7.14,2.5,62.1,54.0,4.75,4.78,2.96,676.4483949032146
1056,1.0,6,10.0,3.75,62.1,61.0,6.3,6.32,3.92,4395.522040592479
1057,0.33,2,4.28,7.5,65.1,59.0,4.4,4.32,2.84,886.6209907091998
1058,1.5,4,5.71,6.25,61.3,56.0,7.41,7.37,4.53,7720.948315617092
1059,0.81,6,2.85,6.25,63.2,59.0,5.9,5.84,3.71,3122.9599047675147
1060,0.32,6,5.71,8.75,60.9,57.0,4.41,4.44,2.69,1115.8926915705724
1061,1.11,6,4.28,6.25,63.2,57.0,6.61,6.53,4.15,4994.103731233463
1062,0.5,4,4.28,5.0,60.8,56.0,5.17,5.19,3.14,1403.7361267219148
1063,0.33,8,2.85,6.25,63.1,56.0,4.38,4.4,2.77,608.3050791140759
1064,0.27,2,8.57,6.25,66.4,58.0,3.99,4.02,2.66,794.8380326185634
1065,1.7,4,4.28,1.25,61.3,55.0,7.7,7.63,4.7,8299.701353348284
1066,0.4,6,8.57,3.75,60.8,62.0,4.72,4.76,2.88,932.6318750068222
1067,1.51,8,8.57,2.5,63.1,58.0,7.28,7.31,4.6,7208.650981333014
1068,0.3,6,8.57,5.0,61.9,61.0,4.28,4.32,2.66,631.9299237036557
1069,0.64,6,10.0,3.75,63.7,54.0,5.47,5.52,3.5,2180.6654327257074
1070,0.9,8,7.14,3.75,62.8,64.0,6.18,5.99,3.82,3570.9175642074624
1071,1.0,6,4.28,2.5,60.2,61.0,6.44,6.48,3.89,3961.445818092854
1072,1.01,4,10.0,5.0,59.8,56.0,6.49,6.52,3.89,4813.746640605355
1073,0.41,6,8.57,3.75,62.9,57.0,4.72,4.76,2.98,961.4629715443407
1074,1.0,2,7.14,5.0,68.4,58.0,5.97,6.1,4.13,4063.4204605863833
1075,0.31,6,5.71,3.75,61.5,59.0,4.34,4.38,2.68,343.40607711795565
1076,1.03,6,10.0,2.5,61.8,60.0,6.42,6.45,3.98,4389.270897480912
1077,1.03,10,4.28,3.75,61.9,58.0,6.49,6.43,4.0,4192.477996775628
1078,0.91,10,5.71,7.5,61.8,58.0,6.24,6.16,3.83,4093.8829278964895
1079,0.31,6,8.57,8.75,60.0,56.0,4.45,4.49,2.68,1202.486209462777
1080,0.8,6,8.57,3.75,62.9,60.0,5.87,5.89,3.7,3030.2722551134357
1081,1.02,6,10.0,3.75,62.7,60.0,6.34,6.39,3.99,4454.876532589837
1082,1.0,4,5.71,6.25,62.5,54.0,6.41,6.45,4.02,4419.5861528323585
1083,0.34,10,10.0,3.75,62.8,58.0,4.48,4.44,2.8,705.5045887663309
1084,1.0,4,5.71,5.0,62.3,54.0,6.42,6.38,3.99,4304.944708499885
1085,0.73,4,5.71,5.0,61.7,56.0,5.79,5.81,3.58,2705.4316777853164
1086,0.34,8,8.57,3.75,63.3,57.0,4.44,4.47,2.82,614.8975587604273
1087,1.0,10,1.42,3.75,62.8,59.0,6.37,6.27,3.97,3803.2823417241216
1088,0.54,4,5.71,6.25,61.8,55.3,5.22,5.24,3.23,1854.2077371751893
1089,1.02,6,7.14,2.5,60.9,58.0,6.43,6.55,3.95,4211.814291260924
1090,0.8,6,5.71,7.5,62.5,56.0,5.95,5.98,3.73,3373.4939343204132
1091,0.31,6,4.28,3.75,61.0,61.0,4.33,4.39,2.66,241.9515992779725
1092,2.0,10,10.0,2.5,61.6,59.0,8.2,8.09,5.02,10650.870243310152
1093,1.5,10,1.42,7.5,61.5,60.0,7.31,7.27,4.48,7601.783948638245
1094,1.22,10,2.85,2.5,62.5,58.0,6.8,6.76,4.24,5078.973150103237
1095,0.72,6,2.85,5.0,61.8,60.0,5.72,5.76,3.55,2429.026358659461
1096,0.3,8,5.71,2.5,63.3,57.0,4.25,4.28,2.7,114.5245713812601
1097,0.54,8,8.57,5.0,60.2,61.0,5.27,5.32,3.19,1794.1830859085057
1098,1.02,10,7.14,3.75,62.3,58.0,6.38,6.46,4.0,4246.307479916044
1099,1.01,6,7.14,5.0,63.1,60.0,6.39,6.29,4.0,4389.990243927545
1100,0.3,4,5.71,10.0,60.9,56.0,4.34,4.36,2.65,1197.7330597220516
1101,1.19,10,2.85,2.5,61.6,56.0,6.87,6.83,4.22,4926.225074594351
1102,1.51,8,2.85,2.5,63.6,60.0,7.23,7.27,4.61,6801.388028613377
1103,1.02,8,5.71,1.25,57.4,59.0,6.64,6.6,3.8,4259.818972754911
1104,3.22,4,2.85,1.25,62.6,55.0,9.49,9.42,5.92,18397.424051085305
1105,0.41,4,8.57,3.75,62.9,57.0,4.76,4.72,2.98,1000.0301448763021
1106,0.52,6,10.0,2.5,62.4,59.0,5.05,5.15,3.18,1436.4714643337265
1107,1.52,10,10.0,3.75,60.8,61.0,7.39,7.26,4.45,7844.756487803543
1108,0.36,4,4.28,8.75,62.0,54.0,4.59,4.61,2.85,1205.9441426575431
1109,0.51,10,10.0,3.75,62.7,59.0,5.08,5.06,3.18,1515.4757320110966
1110,0.53,10,1.42,5.0,62.7,56.0,5.18,5.15,3.24,1273.465941907396
1111,1.01,8,7.14,2.5,61.3,62.0,6.44,6.48,3.96,4068.543209783171
1112,0.7,8,7.14,1.25,63.9,60.0,5.65,5.52,3.58,1963.7830120329818
1113,0.34,4,4.28,5.0,61.2,55.0,4.49,4.53,2.76,607.6010139327973
1114,1.04,10,5.71,5.0,62.2,58.0,6.49,6.4,4.01,4516.824164385142
1115,0.39,10,8.57,5.0,60.1,61.0,4.76,4.72,2.85,1034.5991388595467
1116,1.01,10,7.14,6.25,61.7,58.0,6.4,6.43,3.96,4589.360916188625
1117,0.3,6,7.14,8.75,62.6,56.0,4.27,4.29,2.68,1101.4767213871764
1118,1.71,4,5.71,6.25,63.0,56.0,7.65,7.58,4.8,8920.631340296235
1119,1.1,10,4.28,5.0,61.4,58.0,6.68,6.62,4.08,4837.400488079094
1120,1.15,4,4.28,2.5,62.6,55.0,6.74,6.65,4.19,4787.062336351391
1121,0.32,4,4.28,6.25,61.8,55.0,4.41,4.42,2.73,679.5021684877302
1122,2.01,10,5.71,2.5,59.9,62.0,8.15,8.04,4.85,10780.714558115085
1123,0.24,6,5.71,8.75,61.7,56.0,3.98,4.02,2.46,815.8974777719122
1124,0.41,6,8.57,2.5,62.9,58.0,4.74,4.77,2.99,767.4820961622245
1125,0.28,6,10.0,8.75,60.6,58.0,4.23,4.25,2.57,1182.1844614971014
1126,0.31,10,10.0,3.75,60.9,60.0,4.38,4.39,2.67,557.9507751601359
1127,0.45,8,7.14,5.0,56.8,62.0,5.1,5.14,2.91,1323.8517082727267
1128,0.44,6,8.57,6.25,60.7,58.0,4.88,4.91,2.97,1515.0941399796102
1129,0.37,4,7.14,8.75,61.3,56.0,4.65,4.68,2.86,1405.5246787525557
1130,0.9,10,5.71,5.0,62.4,61.0,6.17,6.13,3.84,3599.19291443747
1131,0.53,4,7.14,2.5,62.2,53.0,5.19,5.22,3.24,1337.647792814556
1132,0.54,10,2.85,10.0,58.8,61.0,5.35,5.29,3.13,2223.1498077075303
1133,1.0,6,8.57,5.0,59.0,58.0,6.49,6.53,3.84,4699.214764746273
1134,0.32,4,7.14,10.0,61.3,57.0,4.42,4.46,2.72,1357.3201793918852
1135,1.23,10,4.28,2.5,61.2,57.0,6.89,6.86,4.21,5336.172244179001
1136,1.02,6,8.57,2.5,62.8,55.0,6.4,6.43,4.03,4182.430084258893
1137,0.56,10,8.57,7.5,59.2,56.0,5.49,5.39,3.22,2332.9628569901124
1138,0.43,4,4.28,10.0,62.2,55.0,4.87,4.84,3.02,1709.3573280148921
1139,0.52,4,5.71,6.25,62.1,54.0,5.14,5.17,3.2,1744.4958438411068
1140,0.38,6,5.71,3.75,61.8,53.7,4.67,4.69,2.9,645.7787696451451
1141,0.9,6,2.85,8.75,63.4,57.0,6.09,6.12,3.87,3954.098236935226
1142,1.72,10,4.28,3.75,62.0,57.0,7.67,7.63,4.74,8638.89573970769
1143,0.31,6,4.28,3.75,61.7,59.0,4.36,4.39,2.7,234.01457132721953
1144,2.02,10,7.14,2.5,61.0,59.0,8.2,8.13,4.98,10726.162596618231
1145,0.56,4,8.57,7.5,61.0,56.0,5.32,5.36,3.26,2294.841267481599
1146,0.42,4,5.71,10.0,62.0,57.0,4.82,4.8,2.98,1752.740728831075
1147,0.34,6,2.85,3.75,61.3,61.0,4.45,4.49,2.74,303.643571297358
1148,0.43,4,5.71,6.25,62.3,56.0,4.82,4.85,3.01,1273.6767201966395
1149,1.51,2,1.42,3.75,63.4,60.0,7.31,7.18,4.59,7028.13859967152
1150,0.32,6,5.71,5.0,60.2,57.0,4.42,4.45,2.67,591.1560579224915
1151,1.24,10,5.71,6.25,62.0,55.0,6.95,6.89,4.29,5920.551257339224
1152,0.31,4,8.57,6.25,61.4,56.0,4.38,4.35,2.68,919.348926621451
1153,1.32,4,5.71,7.5,62.3,57.0,6.96,7.04,4.36,6624.926295263291
1154,1.02,4,4.28,2.5,61.6,55.0,6.49,6.43,3.98,4060.5544034972863
1155,0.7,6,1.42,5.0,61.1,61.0,5.64,5.69,3.46,2304.4586279363702
1156,1.0,10,7.14,6.25,62.7,55.0,6.39,6.34,3.99,4500.184993514153
1157,0.41,4,5.71,5.0,61.4,59.0,4.78,4.76,2.93,1009.1408286451806
1158,0.52,10,5.71,3.75,59.7,60.0,5.22,5.2,3.11,1399.7064028638015
1159,0.51,6,10.0,5.0,60.5,60.0,5.16,5.19,3.13,1760.8396104441963
1160,0.3,10,10.0,3.75,61.7,59.0,4.28,4.31,2.65,528.4683896734405
1161,0.39,8,10.0,7.5,58.1,60.0,4.82,4.85,2.81,1506.2086405144182
1162,0.38,10,5.71,10.0,62.5,60.0,4.64,4.61,2.89,1479.690357406722
1163,1.01,10,7.14,2.5,58.3,58.0,6.56,6.55,3.82,4368.275673520409
1164,1.36,4,5.71,3.75,60.9,56.0,7.15,7.16,4.36,6494.797876760023
1165,1.21,4,2.85,3.75,60.6,55.0,6.92,6.87,4.18,5411.274194781336
1166,0.3,6,7.14,10.0,62.1,57.0,4.26,4.3,2.66,1268.608500606655
1167,0.41,10,10.0,8.75,62.2,58.0,4.77,4.71,2.95,1735.5901522829772
1168,2.03,10,1.42,6.25,59.3,60.0,8.36,8.28,4.93,11175.115912023883
1169,0.36,4,10.0,3.75,62.5,56.0,4.55,4.57,2.85,848.1053934585834
1170,0.4,10,10.0,3.75,61.4,56.0,4.83,4.72,2.93,1014.9514816860647
1171,2.11,10,10.0,2.5,60.9,60.0,8.28,8.21,5.02,11551.918023233835
1172,1.06,4,4.28,3.75,63.0,55.0,6.49,6.44,4.08,4360.997825658271
1173,0.33,8,2.85,6.25,63.2,57.0,4.37,4.4,2.77,603.3241432613559
1174,0.72,10,8.57,10.0,61.3,60.0,5.74,5.71,3.51,3507.18602855674
1175,1.51,8,1.42,3.75,62.4,64.0,7.31,7.23,4.54,7016.7118779027605
1176,1.0,10,5.71,5.0,62.9,56.0,6.42,6.27,3.99,4251.347578248269
1177,1.02,4,7.14,3.75,62.8,55.0,6.43,6.4,4.03,4302.830636411549
1178,0.43,4,8.57,2.5,62.1,56.0,4.85,4.84,3.01,924.7485534392072
1179,1.0,2,5.71,1.25,66.4,59.0,6.16,6.09,4.07,3592.1420812411525
1180,1.7,10,2.85,3.75,58.6,59.0,7.79,7.75,4.55,8829.568120448394
1181,0.72,4,10.0,2.5,61.1,58.0,5.76,5.79,3.53,2590.3191183837753
1182,1.22,10,5.71,3.75,63.0,57.0,6.84,6.74,4.28,5380.292785178068
1183,1.06,8,7.14,6.25,58.5,57.0,6.68,6.73,3.92,5174.337424922267
1184,1.11,4,4.28,3.75,60.2,54.0,6.82,6.7,4.07,4896.271813802079
1185,1.01,10,4.28,2.5,61.9,59.0,6.42,6.37,3.96,3902.4075674042997
1186,1.06,10,5.71,8.75,61.1,58.0,6.53,6.57,4.0,5214.775116578932
1187,1.54,10,8.57,2.5,59.0,62.0,7.59,7.56,4.47,7780.617253008206
1188,0.56,6,8.57,3.75,58.5,59.0,5.42,5.45,3.18,1843.4943239534277
1189,0.25,8,7.14,6.25,63.6,57.0,4.01,4.04,2.56,528.5291109309819
1190,0.9,4,10.0,3.75,61.6,56.0,6.19,6.21,3.82,3818.3876073240426
1191,0.56,2,8.57,2.5,64.5,61.0,5.18,5.14,3.33,1528.0005033289435
1192,0.31,4,7.14,10.0,60.8,56.0,4.43,4.45,2.7,1299.9635228440948
1193,0.39,6,10.0,5.0,60.2,59.0,4.74,4.76,2.86,1154.496023909467
1194,1.01,10,7.14,6.25,59.4,60.0,6.5,6.46,3.85,4795.941058325005
1195,2.02,4,2.85,3.75,62.4,56.0,8.07,8.11,5.05,10502.405546151394
1196,1.03,4,10.0,2.5,61.2,57.0,6.51,6.59,4.01,4407.514855827316
1197,1.57,10,4.28,6.25,61.7,58.0,7.47,7.56,4.64,7905.029760648942
1198,0.31,6,10.0,10.0,62.0,56.0,4.33,4.35,2.69,1499.8641372384536
1199,0.5,10,10.0,3.75,61.1,59.0,5.08,5.04,3.09,1549.618722337087
1200,0.3,4,8.57,5.0,62.4,57.0,4.29,4.24,2.66,720.9215533832376
1201,1.22,6,10.0,2.5,62.2,58.0,6.85,6.91,4.28,5491.862740987586
1202,0.27,6,7.14,7.5,61.9,58.0,4.17,4.2,2.59,771.7066900064456
1203,0.41,4,8.57,8.75,61.9,55.0,4.79,4.78,2.96,1712.7235224764336
1204,1.24,10,7.14,3.75,61.6,59.0,6.9,6.86,4.24,5694.269259538931
1205,0.41,6,2.85,8.75,62.0,56.0,4.75,4.77,2.95,1343.1338859997304
1206,0.4,4,5.71,2.5,62.5,53.0,4.75,4.79,2.98,582.7886217695486
1207,1.01,4,7.14,3.75,62.0,57.0,6.38,6.42,3.97,4286.573092719258
1208,1.5,10,2.85,6.25,62.7,59.0,7.25,7.3,4.56,7337.359366761606
1209,0.56,4,10.0,2.5,61.3,56.0,5.3,5.33,3.26,1692.5021480496034
1210,0.36,4,2.85,6.25,62.1,57.0,4.54,4.58,2.83,769.0421712696952
1211,1.51,10,2.85,5.0,59.9,60.0,7.42,7.36,4.43,7554.1824140792105
1212,1.3,6,2.85,6.25,62.1,59.0,6.97,7.01,4.34,6128.574064370705
1213,0.32,4,5.71,8.75,61.7,56.0,4.41,4.37,2.71,1139.2253221805531
1214,0.26,6,8.57,3.75,62.0,54.0,4.08,4.11,2.54,357.1956233464425
1215,1.51,6,8.57,2.5,61.8,57.0,7.34,7.32,4.53,7393.032734812086
1216,0.33,10,8.57,8.75,60.1,58.0,4.51,4.47,2.7,1290.2217161172648
1217,1.34,4,5.71,6.25,62.7,57.0,7.04,7.1,4.43,6510.441777295664
1218,1.01,8,8.57,3.75,63.2,59.0,6.25,6.28,3.96,4309.274665413386
1219,1.0,10,5.71,5.0,60.0,59.0,6.54,6.46,3.9,4399.361270520689
1220,1.42,4,7.14,8.75,60.8,56.0,7.25,7.32,4.43,7652.351264527873
1221,0.9,10,4.28,5.0,61.2,61.0,6.18,6.08,3.75,3674.017725250149
1222,1.01,6,8.57,5.0,63.4,60.0,6.37,6.31,4.02,4431.952360245919
1223,0.36,10,10.0,5.0,60.5,58.0,4.63,4.6,2.79,997.734479973371
1224,0.7,10,8.57,3.75,59.1,62.0,5.8,5.74,3.41,2625.1439040255173
1225,0.37,8,5.71,2.5,63.3,55.0,4.58,4.61,2.91,396.51285672997983
1226,0.91,6,8.57,3.75,63.3,56.0,6.12,6.17,3.89,3662.389436442443
1227,0.8,4,4.28,5.0,62.8,57.0,5.91,5.87,3.7,3005.025855580927
1228,0.9,8,8.57,2.5,63.4,60.0,6.02,6.07,3.83,3442.364892904623
1229,0.31,4,5.71,10.0,61.7,56.0,4.38,4.34,2.69,1263.662724227388
1230,1.51,8,5.71,6.25,62.4,59.0,7.25,7.28,4.53,7670.579314234101
1231,1.11,10,2.85,2.5,61.5,58.0,6.65,6.61,4.08,4458.98615757669
1232,0.41,4,4.28,6.25,61.0,54.0,4.84,4.8,2.94,1129.10119393091
1233,1.01,6,1.42,2.5,62.8,59.0,6.34,6.37,3.99,3694.744065678018
1234,0.7,4,10.0,5.0,61.6,58.0,5.66,5.7,3.5,2811.966177511744
1235,1.63,4,5.71,6.25,61.7,55.0,7.6,7.56,4.68,8524.079446154183
1236,1.61,10,10.0,2.5,61.3,58.0,7.56,7.49,4.61,8157.424162871061
1237,0.72,6,4.28,3.75,63.0,58.0,5.68,5.71,3.59,2303.265337393821
1238,0.54,10,5.71,5.0,62.0,58.0,5.21,5.18,3.22,1621.6920187494998
1239,1.22,6,5.71,10.0,62.0,59.0,6.8,6.85,4.23,6342.05384075003
1240,0.33,10,5.71,10.0,59.4,59.0,4.54,4.49,2.68,1303.292113030997
1241,1.34,6,5.71,5.0,60.7,59.0,7.04,7.07,4.28,6582.523974513244
1242,0.76,4,4.28,8.75,61.8,57.0,5.82,5.86,3.61,3321.4093588895776
1243,1.74,4,8.57,2.5,62.3,57.0,7.8,7.7,4.83,8809.458292841928
1244,0.32,4,5.71,3.75,61.3,57.0,4.37,4.4,2.69,433.8029655027258
1245,0.5,4,7.14,5.0,61.1,58.0,5.1,5.13,3.13,1533.737491382646
1246,1.44,8,5.71,1.25,63.2,54.8,7.18,7.21,4.54,6429.1969037689505
1247,0.7,2,2.85,3.75,65.2,58.0,5.6,5.56,3.64,2046.7519332514712
1248,0.52,4,8.57,5.0,61.4,54.0,5.2,5.23,3.2,1742.9950723935817
1249,0.73,6,5.71,8.75,62.9,59.0,5.7,5.78,3.61,3121.7189511584584
1250,1.23,10,4.28,6.25,61.1,58.0,6.91,6.86,4.21,5854.404809134201
1251,1.02,10,4.28,5.0,61.9,57.0,6.5,6.4,3.99,4328.589190600191
1252,1.0,4,8.57,3.75,61.6,55.0,6.45,6.43,3.97,4335.16420743794
1253,0.7,6,10.0,3.75,61.1,58.0,5.66,5.73,3.48,2643.3121499092977
1254,1.5,6,8.57,2.5,62.8,57.0,7.17,7.23,4.52,7265.726179814197
1255,2.0,6,1.42,7.5,63.0,59.0,7.97,8.0,5.03,10729.605547239522
1256,0.3,6,5.71,5.0,63.1,56.0,4.28,4.25,2.69,514.0976984103017
1257,0.26,10,8.57,7.5,58.9,61.0,4.19,4.16,2.46,795.7601117614686
1258,0.58,10,8.57,3.75,62.7,58.0,5.33,5.32,3.34,1772.2492610881109
1259,0.4,6,7.14,6.25,60.4,61.0,4.74,4.77,2.87,1210.196732347118
1260,0.26,4,10.0,6.25,62.0,55.0,4.12,4.1,2.55,798.8809708607914
1261,1.0,2,4.28,2.5,65.1,58.0,6.27,6.15,4.05,3731.0224617765252
1262,0.52,2,7.14,6.25,57.2,59.0,5.35,5.39,3.07,1966.550592145657
1263,1.02,10,10.0,2.5,59.7,60.0,6.58,6.55,3.92,4433.3234719612865
1264,1.7,8,2.85,3.75,59.3,58.0,7.72,7.77,4.59,8739.515997534598
1265,1.01,10,4.28,2.5,61.6,61.0,6.39,6.31,3.91,3971.099149581287
1266,0.55,4,8.57,5.0,61.8,57.0,5.34,5.27,3.28,1866.6548075963583
1267,1.04,8,7.14,6.25,63.2,57.0,6.41,6.44,4.06,4691.098269937669
1268,1.02,10,10.0,5.0,62.9,60.0,6.42,6.37,4.02,4573.605784860138
